built_year,num_beds,num_baths,lat,lng,size_sqft,tenure_group,subzone_per_price_encoded,property_type_ordinal,dist_to_nearest_important_mrt_rounded,number_of_nearby_primary_schools,number_of_nearby_secondary_schools,number_of_nearby_shopping_malls,name_of_nearest_BN_ordinal,name_of_nearest_CR_ordinal,price,per_price
2025.0,3.0,2.0,1.310429,103.802821,936.0,3,2774.5538535092774,3,1,0,1,0,7,5,2310000,2467.948717948718
2027.0,2.0,2.0,1.3252767,103.9326308,689.0,1,1512.0757694664285,3,2,4,1,0,6,3,1375500,1996.3715529753265
2023.0,5.0,4.0,1.27568865,103.838225,1819.0,3,2273.806660868726,3,1,1,0,0,8,5,6161400,3387.245739417262
1989.0,3.0,2.0,1.37112775,103.9580767,1130.0,1,544.542020705839,1,4,5,3,0,3,3,575400,509.2035398230088
1997.0,3.0,2.0,1.34387085,103.7578477,1313.0,1,1781.655488834343,1,1,2,1,0,7,4,628800,478.9032749428789
2024.0,2.0,2.0,1.29773195,103.8559135,753.0,1,3155.114005693453,3,0,2,1,4,9,5,2288000,3038.512616201859
2023.0,4.0,4.0,1.3164867,103.8574675,1399.0,3,1917.4476785184247,3,0,2,1,0,9,5,3272800,2339.385275196569
1972.0,2.0,1.0,1.32691215,103.8564905,893.0,1,1403.612999786757,1,1,1,1,0,2,5,974400,1091.1534154535275
2023.0,3.0,2.0,1.39734855,103.8923533,926.0,1,988.4749487970334,2,1,5,2,0,5,2,1076200,1162.203023758099
2025.0,3.0,2.0,1.31730585,103.8326075,1281.0,3,3097.817490665313,3,1,1,3,0,9,5,3922700,3062.217017954723
2024.0,3.0,2.0,1.29841635,103.8571777,904.0,1,3155.114005693453,3,0,2,1,4,9,5,2516800,2784.070796460177
1995.0,4.0,2.0,1.3766152,103.9405293,1313.0,1,895.2703558201714,1,3,1,0,1,5,3,724500,551.7897943640518
2024.0,1.0,1.0,1.30397875,103.8226916,527.0,3,2775.987237432,3,2,0,0,1,8,5,1541400,2924.857685009488
2014.0,6.0,6.0,1.3171727,103.922284,7015.0,3,1663.0790001739826,8,2,2,0,0,6,3,8998500,1282.751247327156
2017.0,3.0,2.0,1.3349051,103.8794395,1001.0,1,1924.2543544525136,1,1,3,3,0,5,5,798000,797.2027972027972
2026.0,3.0,2.0,1.44002835,103.827741,958.0,1,1448.2728418366185,3,4,3,1,0,1,1,1459500,1523.4864300626305
2014.0,3.0,3.0,1.42432885,103.8482248,1184.0,1,1049.6741731192612,2,6,3,1,0,4,2,1257900,1062.4155405405406
2025.0,4.0,4.0,1.3101838,103.8359137,2368.0,3,3927.182405628854,3,0,1,0,0,9,5,10963400,4629.814189189189
2017.0,2.0,2.0,1.39704825,103.8939333,764.0,1,988.4749487970334,2,1,4,3,0,5,2,1155000,1511.780104712042
2023.0,2.0,2.0,1.3123637,103.8032709,667.0,3,2864.4803181782245,3,1,0,0,0,7,5,1772400,2657.2713643178413
2026.0,3.0,2.0,1.3113227,103.8524758,1076.0,1,1967.13103432837,3,0,2,0,0,9,5,2415000,2244.4237918215613
2013.0,5.0,5.0,1.3307918,103.7577266,4925.0,3,1327.1290514725974,7,2,0,0,0,7,4,6016500,1221.6243654822335
2011.0,3.0,2.0,1.27779165,103.8414036,1140.0,1,1870.8191787439432,1,0,1,0,0,8,5,1260000,1105.2631578947369
2013.0,5.0,3.0,1.3178998,103.8258621,5985.0,3,3097.817490665313,3,0,0,2,0,9,5,14184200,2369.958228905597
2023.0,1.0,1.0,1.3027702,103.8694351,560.0,1,2737.5776449985,3,1,0,0,0,6,5,1761900,3146.25
2024.0,2.0,1.0,1.30397875,103.8226916,710.0,3,2775.987237432,3,2,0,0,1,8,5,1937000,2728.169014084507
1984.0,2.0,2.0,1.3533064,103.951144,796.0,0,768.58368239282,1,2,5,3,0,3,3,472500,593.5929648241206
2004.0,3.0,2.0,1.4472891,103.7708303,969.0,1,474.9386686812527,1,2,0,0,0,1,1,525000,541.795665634675
1998.0,4.0,2.0,1.3416378,103.7055321,1270.0,0,570.9042890431664,1,4,6,3,1,1,4,735000,578.7401574803149
2024.0,5.0,4.0,1.3393381,103.7638932,1884.0,3,1781.655488834343,3,2,1,0,0,7,4,4438400,2355.83864118896
1982.0,2.0,2.0,1.3048464,103.8625836,645.0,1,1152.937521659607,1,1,1,0,1,9,5,446200,691.7829457364342
2001.0,5.0,5.0,1.37269295,103.7699176,6437.0,2,1503.5146534026362,5,3,3,2,0,7,4,9816300,1524.9805810160012
2017.0,3.0,2.0,1.31507315,103.8606315,1001.0,1,1024.5180406622717,1,1,2,0,0,9,5,984900,983.916083916084
2023.0,3.0,3.0,1.3164867,103.8574675,1119.0,3,1917.4476785184247,3,0,2,1,0,9,5,2324700,2077.4798927613942
1981.0,3.0,2.0,1.37365485,103.8569754,990.0,1,679.2215838560895,1,2,3,2,0,4,2,521800,527.070707070707
2008.0,5.0,6.0,1.3555426,103.8802545,3966.0,3,1138.1204130986944,4,1,2,2,1,5,2,5019000,1265.5068078668685
2025.0,4.0,3.0,1.3136277,103.8831086,1195.0,3,1340.1502340551028,3,1,2,2,0,6,5,2082900,1743.0125523012553
2026.0,3.0,2.0,1.2739587,103.8436353,1421.0,1,2840.8427429556777,3,0,1,0,0,8,5,3514400,2473.1878958479942
2009.0,3.0,3.0,1.29150655,103.8367044,1603.0,3,2327.530282113195,3,1,0,1,0,9,5,4376200,2730.0062383031814
1987.0,3.0,2.0,1.3620961,103.7444602,1291.0,1,521.1473667586382,1,2,1,2,0,7,4,564900,437.5677769171185
2016.0,4.0,4.0,1.39490445,103.8799483,1367.0,1,953.7208514256196,2,2,3,1,0,5,2,1837500,1344.1843452816386
2014.0,2.0,1.0,1.4275711,103.7857522,752.0,1,698.5310949086672,3,1,4,2,0,1,1,924000,1228.723404255319
2001.0,7.0,8.0,1.34166185,103.7808309,7900.0,1,2025.443375737397,8,3,1,0,0,7,4,12264000,1552.4050632911392
2025.0,3.0,2.0,1.310429,103.802821,936.0,3,2774.5538535092774,3,1,0,1,0,7,5,2520300,2692.628205128205
2022.0,4.0,4.0,1.3443339,103.8786904,1281.0,3,2196.755238470376,3,1,3,5,0,5,5,2733200,2133.6455893832945
2011.0,3.0,2.0,1.3175467,103.8985188,1022.0,1,1522.4572647705625,1,1,1,0,0,6,5,892500,873.2876712328767
2001.0,3.0,2.0,1.4501476,103.8157699,1011.0,1,829.8773838209655,1,3,5,2,0,1,1,545000,539.0702274975272
2023.0,4.0,3.0,1.3087662,103.8090654,1345.0,3,2821.071143374919,3,1,0,0,0,7,5,3990000,2966.542750929368
1995.0,5.0,4.0,1.4290407,103.7720746,1905.0,1,698.5310949086672,1,0,2,1,0,1,1,1155000,606.2992125984252
1992.0,3.0,2.0,1.3580925,103.8421739,1205.0,0,919.7404908328144,1,1,0,2,0,4,2,630000,522.8215767634855
1996.0,3.0,2.0,1.2766663,103.8070464,1001.0,1,876.102411561595,1,1,1,0,0,8,5,1143300,1142.1578421578422
2017.0,4.0,3.0,1.4170171,103.8450347,1185.0,1,932.5347433603066,2,5,2,3,0,4,2,1604400,1353.9240506329113
1986.0,3.0,2.0,1.32616425,103.9021618,1119.0,1,587.6710726869863,1,1,2,1,0,6,3,556500,497.3190348525469
1995.0,4.0,3.0,1.4377016,103.7773364,1825.0,1,531.2928626795818,1,1,2,2,0,1,1,934500,512.054794520548
2009.0,3.0,2.0,1.3984628,103.9190743,990.0,1,882.9882742241141,1,3,3,1,0,5,3,609000,615.1515151515151
2023.0,5.0,4.0,1.36679605,103.8865754,1679.0,1,1617.7712322913471,3,2,2,2,0,5,2,2536300,1510.601548540798
2000.0,7.0,9.0,1.3444213,103.8376946,4350.0,3,1742.5461971398502,7,1,1,2,0,4,5,11340000,2606.896551724138
2025.0,3.0,2.0,1.3086965,103.8981317,797.0,3,2083.217190005505,3,1,2,3,0,6,5,1827000,2292.346298619824
2021.0,4.0,4.0,1.330403,103.7949393,1259.0,3,2806.6217464689284,3,2,0,1,0,7,4,3879300,3081.254964257347
2004.0,3.0,2.0,1.3120277,103.8516763,969.0,1,1967.13103432837,1,0,2,0,0,9,5,829500,856.0371517027863
2025.0,3.0,1.0,1.3131859,103.8996932,1098.0,3,1522.4572647705625,3,1,2,2,0,6,5,2278600,2075.2276867030964
2019.0,3.0,2.0,1.4350322,103.8443331,786.0,1,1049.6741731192612,3,6,4,3,0,4,2,1050000,1335.87786259542
1998.0,3.0,2.0,1.3402661,103.6957609,1076.0,0,570.9042890431664,1,5,8,3,1,1,4,575400,534.7583643122676
2021.0,3.0,2.0,1.330403,103.7949393,990.0,3,2806.6217464689284,3,2,0,1,0,7,4,2845500,2874.242424242424
2026.0,4.0,4.0,1.44002835,103.827741,1302.0,1,1448.2728418366185,3,4,3,1,0,1,1,1953000,1500.0
2016.0,2.0,2.0,1.3526158,103.8508846,678.0,1,885.0174550964008,3,0,3,4,0,4,2,1344000,1982.3008849557525
2006.0,4.0,2.0,1.2810166,103.8092913,1248.0,1,979.7806745793714,1,1,2,1,0,8,5,766500,614.1826923076923
2007.0,5.0,7.0,1.46136225,103.8361482,7000.0,3,1036.5174589845658,7,6,0,0,0,1,1,6594000,942.0
1997.0,3.0,2.0,1.37160725,103.8754021,1076.0,0,719.8249080620692,1,2,3,3,0,5,2,617400,573.7918215613383
2017.0,3.0,2.0,1.4241899,103.8449321,1216.0,1,1049.6741731192612,1,6,3,2,0,4,2,724500,595.8059210526316
2017.0,3.0,2.0,1.445516,103.8270586,936.0,1,1448.2728418366185,2,4,2,0,0,1,1,1344000,1435.8974358974358
2002.0,3.0,2.0,1.3877522,103.7694179,1184.0,0,724.1518112319101,1,3,4,2,0,7,1,617400,521.4527027027027
2014.0,2.0,2.0,1.29436855,103.8284376,678.0,2,2775.987237432,3,2,1,1,0,8,5,1669500,2462.389380530973
2027.0,3.0,2.0,1.4349279,103.8452818,968.0,1,1049.6741731192612,2,6,4,3,0,4,2,1197000,1236.5702479338845
2023.0,1.0,1.0,1.35258045,103.8392254,527.0,1,1742.5461971398502,3,1,0,3,0,4,2,1037400,1968.500948766604
2024.0,3.0,2.0,1.3306509,103.7670572,1152.0,2,2137.544263228818,3,2,1,0,0,7,4,2368800,2056.25
1996.0,2.0,2.0,1.3128118,103.9390329,947.0,1,1478.8920976614118,3,2,1,1,0,6,3,1154000,1218.585005279831
2022.0,2.0,1.0,1.3443339,103.8786904,635.0,3,2196.755238470376,3,1,3,5,0,5,5,1567600,2468.6614173228345
2022.0,2.0,2.0,1.3156128,103.8454853,657.0,3,2678.315035114304,3,1,2,0,1,9,5,1785000,2716.89497716895
1981.0,3.0,2.0,1.28163205,103.8423122,893.0,0,1870.8191787439432,1,0,1,1,0,9,5,1050000,1175.8118701007838
1978.0,3.0,2.0,1.31088855,103.7696621,1044.0,0,1032.7866750554886,1,1,2,4,0,7,4,588000,563.2183908045977
1989.0,3.0,2.0,1.36781235,103.958219,1377.0,1,544.542020705839,1,3,5,4,0,3,3,701400,509.3681917211329
2017.0,3.0,3.0,1.30348325,103.8246896,1862.0,3,4057.311645565856,3,2,0,0,1,9,5,7039200,3780.4511278195487
2001.0,3.0,2.0,1.3872543,103.7597827,1399.0,0,588.8407304067119,1,2,5,3,0,7,1,848400,606.4331665475339
2002.0,3.0,2.0,1.3955935,103.8990262,1184.0,1,648.262439109588,1,1,5,4,0,5,2,630000,532.0945945945946
1988.0,3.0,2.0,1.37640055,103.7748983,1313.0,0,675.643805429074,1,4,3,1,0,7,4,586800,446.9154607768469
2025.0,3.0,2.0,1.26522915,103.8175188,1076.0,1,2339.314096068272,3,0,0,0,1,8,5,2815000,2616.171003717472
2027.0,3.0,3.0,1.4349279,103.8452818,1076.0,1,1049.6741731192612,2,6,4,3,0,4,2,1398400,1299.6282527881042
2011.0,1.0,1.0,1.37998675,103.9627091,452.0,2,1188.643389496655,3,5,1,1,0,3,3,656200,1451.7699115044247
1979.0,3.0,2.0,1.31947695,103.8827697,1302.0,1,1340.1502340551028,1,1,3,1,0,6,5,795900,611.2903225806451
2016.0,2.0,2.0,1.32829915,103.8613773,721.0,1,1403.612999786757,1,1,3,2,0,2,5,586800,813.869625520111
2026.0,2.0,2.0,1.3159484,103.8575892,710.0,3,1917.4476785184247,3,0,2,1,0,9,5,1361800,1918.0281690140848
2024.0,3.0,2.0,1.3306509,103.7670572,936.0,2,2137.544263228818,3,2,1,0,0,7,4,1870000,1997.863247863248
2016.0,3.0,2.0,1.44761315,103.8335203,1001.0,1,737.8508630442027,1,5,0,0,0,1,1,575400,574.8251748251748
2025.0,3.0,2.0,1.3765249,103.7573796,1012.0,1,1401.41309358928,3,3,3,2,0,7,4,1575000,1556.3241106719368
2000.0,3.0,2.0,1.3410727,103.6997519,968.0,0,570.9042890431664,1,5,5,2,1,1,4,491400,507.64462809917353
2002.0,3.0,3.0,1.3102151,103.8986321,1475.0,3,1522.4572647705625,3,1,2,3,0,6,5,3150000,2135.593220338983
1998.0,6.0,6.0,1.4283557,103.7804964,3863.0,1,698.5310949086672,4,1,2,2,0,1,1,2940000,761.0665286047114
2013.0,3.0,2.0,1.31027885,103.7707617,1033.0,1,1032.7866750554886,1,1,2,4,0,7,4,912300,883.1558567279768
2015.0,1.0,1.0,1.3176791,103.8287157,463.0,3,3097.817490665313,3,0,1,3,0,9,5,1344000,2902.80777537797
2026.0,3.0,2.0,1.2915415,103.8451744,1259.0,1,3173.7483662528653,3,0,1,1,0,9,5,3771600,2995.710881652105
2010.0,3.0,2.0,1.39233145,103.8769617,1033.0,1,953.7208514256196,1,2,2,1,1,5,2,630000,609.8741529525654
1993.0,3.0,2.0,1.3850886,103.7409207,1119.0,0,513.4583200446119,1,2,2,2,0,1,4,514500,459.78552278820376
2016.0,2.0,1.0,1.3442122,103.8731534,560.0,3,2196.755238470376,3,1,3,3,0,5,5,1029000,1837.5
2017.0,3.0,2.0,1.4023268,103.8957707,1205.0,1,892.8686354010862,1,1,3,3,0,5,2,648900,538.50622406639
2014.0,3.0,2.0,1.29932595,103.8331967,1399.0,1,2778.11602681156,3,1,0,0,0,9,5,4357500,3114.7248034310223
2009.0,5.0,4.0,1.3287735,103.8056153,3090.0,1,1991.335767854376,4,1,2,3,0,7,5,4179000,1352.4271844660195
2024.0,2.0,2.0,1.3306509,103.7670572,872.0,2,2137.544263228818,3,2,1,0,0,7,4,1648500,1890.4816513761468
2022.0,3.0,3.0,1.3271094,103.7964042,1119.0,1,2359.7973991236627,3,2,0,3,0,7,4,2940300,2627.6139410187666
2021.0,1.0,1.0,1.36597045,103.8702867,517.0,1,1433.0179273921692,3,2,2,3,0,5,2,965000,1866.537717601548
2000.0,3.0,3.0,1.35112195,103.6966883,1313.0,1,665.9786490699327,2,5,3,1,1,1,4,1260000,959.6344249809596
2003.0,4.0,2.0,1.395536,103.8876106,1356.0,1,988.4749487970334,1,1,3,1,0,5,2,813800,600.1474926253687
2001.0,4.0,2.0,1.3870021,103.7634079,1399.0,0,724.1518112319101,1,2,4,2,0,7,1,787500,562.9020729092209
2017.0,3.0,2.0,1.30889935,103.7836397,1001.0,1,942.4822450865028,1,1,2,2,0,7,4,932400,931.4685314685316
1975.0,3.0,2.0,1.30481515,103.9186015,1290.0,1,2080.489980497174,1,3,3,3,0,6,3,819000,634.8837209302326
2010.0,5.0,5.0,1.2481118,103.8406065,6000.0,1,2330.3504413604733,8,3,0,0,0,8,5,22890000,3815.0
1988.0,3.0,2.0,1.33169695,103.8578395,1109.0,1,548.2824610838555,1,1,3,2,0,2,5,651000,587.0153291253381
2022.0,3.0,3.0,1.3157947,103.8320963,1249.0,3,3097.817490665313,3,1,1,3,0,9,5,3779000,3025.6204963971177
2018.0,3.0,2.0,1.39160995,103.8805284,1011.0,1,953.7208514256196,1,2,3,1,0,5,2,672000,664.6884272997032
2018.0,3.0,3.0,1.3521534,103.927942,915.0,1,801.2615590585872,3,1,1,3,0,6,3,1260000,1377.049180327869
2016.0,3.0,2.0,1.3321734,103.7241946,1324.0,1,928.3593602837705,2,2,1,1,0,7,4,1428000,1078.549848942598
2017.0,2.0,1.0,1.319516,103.8809737,797.0,1,1340.1502340551028,3,1,3,1,0,6,5,1281000,1607.2772898368885
1988.0,2.0,2.0,1.3760309,103.7710916,786.0,0,675.643805429074,1,4,3,3,0,7,4,399000,507.6335877862596
2014.0,2.0,2.0,1.39763685,103.9176574,829.0,1,882.9882742241141,2,3,3,1,0,5,3,1047900,1264.0530759951748
2001.0,4.0,7.0,1.3804543,103.9458545,5990.0,2,895.2703558201714,7,4,0,0,0,3,3,6384000,1065.7762938230385
2024.0,3.0,2.0,1.33869315,103.8717495,958.0,1,2339.427236760322,3,1,2,2,0,5,5,1998200,2085.80375782881
2025.0,4.0,5.0,1.3101838,103.8359137,2368.0,3,3927.182405628854,3,0,1,0,0,9,5,6195000,2616.1317567567567
2023.0,2.0,1.0,1.304855,103.7737763,657.0,1,2055.5379118313936,3,1,0,5,0,7,4,1633800,2486.75799086758
1988.0,3.0,2.0,1.4292403,103.849496,1108.0,0,1049.6741731192612,1,7,2,0,0,4,2,491400,443.5018050541517
2025.0,5.0,4.0,1.3080119,103.7673182,1690.0,1,1032.7866750554886,3,1,2,5,0,7,4,3059700,1810.473372781065
1993.0,4.0,2.0,1.3840211,103.746355,1538.0,0,740.6755800019358,1,1,2,4,1,7,4,770700,501.1053315994798
2001.0,5.0,6.0,1.3544038,103.8653864,5324.0,3,1433.0179273921692,4,1,3,2,0,5,2,5985000,1124.1547708489857
1985.0,3.0,2.0,1.34931315,103.7573411,1065.0,1,514.1002808223894,1,1,3,2,0,7,4,546000,512.6760563380282
1970.0,5.0,3.0,1.30640765,103.9327896,3400.0,3,1434.2795912706658,7,3,0,1,0,6,3,6825000,2007.3529411764705
2016.0,3.0,2.0,1.3321734,103.7241946,1087.0,1,928.3593602837705,2,2,1,1,0,7,4,1554000,1429.6228150873965
2013.0,3.0,2.0,1.30835505,103.7852237,1001.0,1,942.4822450865028,1,1,2,2,0,7,4,924000,923.0769230769232
2026.0,3.0,3.0,1.3707978,103.9469571,1302.0,1,1248.6345050987538,3,3,1,1,0,3,3,2310000,1774.1935483870968
2016.0,3.0,2.0,1.3983307,103.8790664,1001.0,1,953.7208514256196,1,2,1,1,0,5,2,609000,608.3916083916084
1986.0,3.0,2.0,1.3510536,103.9338367,689.0,1,801.2615590585872,1,1,3,3,0,6,3,409500,594.3396226415094
2017.0,5.0,4.0,1.39704825,103.8939333,1690.0,1,988.4749487970334,2,1,4,3,0,5,2,2612400,1545.7988165680474
1985.0,3.0,3.0,1.436395,103.8384005,1658.0,0,623.7927948166771,1,6,4,4,0,4,2,869400,524.366706875754
2023.0,2.0,2.0,1.3124025,103.8411716,689.0,1,2678.315035114304,3,0,2,1,0,9,5,1785000,2590.711175616836
1980.0,2.0,2.0,1.37127495,103.8591843,882.0,1,679.2215838560895,1,2,3,2,0,4,2,441000,500.0
2001.0,5.0,4.0,1.3186848,103.843503,5000.0,3,2678.315035114304,4,1,3,1,3,9,5,7014000,1402.8
1985.0,3.0,3.0,1.32321315,103.7710863,1582.0,1,2137.544263228818,1,2,1,0,0,7,4,1134000,716.8141592920354
1996.0,3.0,2.0,1.3964192,103.7511057,1194.0,0,597.9541886480589,1,0,4,2,0,1,1,596400,499.497487437186
1976.0,2.0,2.0,1.31208845,103.8971702,700.0,1,1522.4572647705625,1,1,2,3,0,6,5,399000,570.0
1978.0,5.0,6.0,1.3614485,103.8562891,2750.0,3,877.13298804522,7,1,3,1,0,4,2,7140000,2596.3636363636365
2023.0,1.0,1.0,1.3027702,103.8694351,560.0,1,2737.5776449985,3,1,0,0,0,6,5,1680000,3000.0
2022.0,3.0,2.0,1.3572912,103.7615246,947.0,3,1581.8597378488992,3,2,1,0,0,7,4,1773300,1872.544878563886
2024.0,5.0,4.0,1.3005809,103.8993936,2142.0,3,2080.489980497174,3,2,1,2,0,6,5,5953500,2779.4117647058824
1976.0,3.0,2.0,1.31370335,103.8960673,989.0,1,1522.4572647705625,1,1,2,2,1,6,5,607800,614.5601617795753
2025.0,1.0,1.0,1.29410615,103.8367347,527.0,3,3053.5539858120496,3,1,0,1,0,9,5,1811200,3436.812144212524
2022.0,1.0,1.0,1.31735885,103.8380291,484.0,3,2678.315035114304,3,1,2,1,0,9,5,1344000,2776.8595041322315
2018.0,2.0,2.0,1.4175065,103.8323245,721.0,1,593.7332978575736,1,5,2,3,0,4,2,512400,710.6796116504854
2026.0,2.0,1.0,1.3404645,103.8837331,657.0,1,1924.2543544525136,3,2,1,2,0,5,5,1260000,1917.8082191780825
2024.0,2.0,2.0,1.3306509,103.7670572,700.0,2,2137.544263228818,3,2,1,0,0,7,4,1362900,1947.0
